FIPS,Geographic Name,Geographic Subtype,Total Vote,Joseph R. Biden Jr.,Donald J. Trump,Brock Pierce,Dr. Jo Jorgensen,Howie Hawkins,Donald L. Blankenship,Rocky de la Fuente,Kanye West,Gloria La Riva,Write-in,Alyson Kennedy,John Richard Myers,Brian Carroll,Phil Collins,Blake Huber,Jerry Segal,James Janos,Kyle Kenley Kopitke,Dario Hunter,Joseph Kishore,Bill Hammons,Eric Boddie,Mark Charles,Richard Duncan,Tom Hoefling,Princess Khadijah Jacob-F,Ricki Sue King,Christopher LaFontaine,Keith McCormic,Joe McHugh,H. Brooke Paige,Zac Scalf,Jordan Scott,Jade Simmons,Gary Swing,Sheila 'Samm' Tittle,None of These Candidates,C. L. Gammon
38,North Dakota,State,361819,114902,235595,0,9393,0,0,0,0,0,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,State,5932398,2679165,3154834,0,67569,18812,0,0,0,0,10212,0,0,1450,0,0,0,0,0,27,0,0,3,0,0,114,0,0,0,0,0,0,0,0,212,0,0,0,0
40,Oklahoma,State,1560699,503890,1020280,2547,24731,0,0,0,5597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654,0,0,0,0
41,Oregon,State,2374144,1340383,958448,0,41582,11832,0,0,0,0,16912,0,0,0,0,0,0,0,0,4987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Pennsylvania,State,6938119,3461053,3378906,1,79437,61,0,0,0,0,18645,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
44,Rhode Island,State,516383,306210,199837,0,5047,0,0,923,0,843,2756,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,South Carolina,State,2513329,1091541,1385103,0,27916,6907,0,1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,South Dakota,State,422609,150471,261043,0,11095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,3045401,1139289,1849467,0,29806,4532,5350,1836,10256,2294,0,2571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Texas,State,11315056,5259126,5890347,0,126243,33396,0,0,0,350,460,0,0,2785,0,0,0,0,0,0,0,0,2012,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Utah,State,1505828,560282,865140,2623,38447,5053,5551,0,7213,1139,17540,0,0,368,0,0,0,0,0,0,0,0,6,0,0,51,0,0,0,0,2229,0,0,0,186,0,0,0,0
50,Vermont,State,367428,242820,112704,100,3608,1310,208,48,1269,166,1942,195,0,209,137,54,65,0,53,0,0,0,0,0,213,0,0,0,856,126,0,1175,29,0,0,141,0,0,0
51,Virginia,State,4460524,2413568,1962430,0,64761,0,0,0,0,0,19765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington,State,4087631,2369612,1584651,0,80500,18289,0,0,0,4840,27252,2487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,West Virginia,State,794652,235984,545382,0,10687,2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Wisconsin,State,3297114,1630389,1609879,0,38189,0,5438,0,0,0,7967,0,0,5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Wyoming,State,276765,73491,193559,2208,5768,0,0,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
